COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
12266,20240930,18657,16.31584871679424,861,-591,2882,61.51138981315587,51.52,15628,24.28127737516923,5954,35314,72,9613,35314_20240930
1918401,20240930,2502813,9.279325550181152,97066,19026,211145,88.72819334920399,76.25,2150720,13.140935578700416,38485,57369,9668,1908295,57369_20240930
2130572,20240930,4237393,12.832285180690553,171662,33759,503699,91.59808728647408,73.7,3409188,0.0,224994,57815,17330,3122751,57815_20240930
297717,20240930,411501,11.335772978914491,15185,1632,41646,97.76729294801584,73.32,308594,0.0,64464,57931,907,301704,57931_20240930
1474819,20240930,3558595,11.067800673913396,160296,48428,405330,111.75507567978129,86.46,2752981,19.940886138224275,260822,58181,17248,3076596,58181_20240930
374972,20240930,597423,14.37008247947511,25565,4482,76502,100.49914160361162,74.08,440356,18.836669385706216,94752,58348,6072,442554,58348_20240930
185869,20240930,329628,9.125049061935787,13578,889,29605,103.84567390046624,83.31,264453,0.0,9956,58377,378,274623,58377_20240930
96806,20240930,168252,13.220292166008552,9561,1699,21029,92.77102552838386,79.07,143409,17.2659244387662,12119,58413,938,133042,58413_20240930
281798,20240930,373072,13.027205988196345,16258,2388,45933,81.46552386454783,71.06,325399,0.0,46571,58584,883,265088,58584_20240930
438097,20240930,722572,11.130428178930895,33843,8367,65738,90.58660447873893,78.86,629061,18.137677382106965,55860,58657,4040,569845,58657_20240930
235009,20240930,465753,11.98715237109326,24525,4097,55845,95.85322983005612,82.66,401662,41.70843102249181,50312,58687,2493,385006,58687_20240930
88684,20240930,200147,12.102609410940332,8753,-190,24273,92.24430334110791,62.64,135913,19.537913689537685,46420,59182,1122,125372,59182_20240930
27038,20240930,63285,34.46045177984474,2551,-1393,19710,90.34801136363636,60.3,42240,0.0,587,59292,33,38163,59292_20240930
661999,20240930,769635,11.937335568755438,30108,12103,85551,59.90645543764961,52.32,672193,20.599237434420633,49368,8033,3276,402687,8033_20240930
29168,20240630,39795,13.33870034466276,1000,18,2543,62.939933594929066,52.4,33130,21.889714752694868,2618,10843,38,20852,10843_20240630
361370,20240630,450611,15.159168994079755,11256,1774,60248,70.95431363718015,60.48,384119,25.81371617579788,32766,12266,2078,272549,12266_20240630
